src_uid;dst_uid;kind
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-ADDR1";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-ADDR2";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-ADDR3";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-BALANCE";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-COMMENT";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-FIRSTN";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-LASTN";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-LIMIT";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-NO";"child"
"VARIABLE:::CBLDB21:::CUSTOMER-RECORD";"VARIABLE:::CBLDB21:::ACCT-RSRVD";"child"
"VARIABLE:::CBLDB21:::ERROR-MESSAGE";"VARIABLE:::CBLDB21:::ERROR-LEN";"child"
"VARIABLE:::CBLDB21:::ERROR-MESSAGE";"VARIABLE:::CBLDB21:::ERROR-TEXT";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-BALANCE-O";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-COMMENT-O";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-FIRSTN-O";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-LASTN-O";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-LIMIT-O";"child"
"VARIABLE:::CBLDB21:::REPREC";"VARIABLE:::CBLDB21:::ACCT-NO-O";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR1";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR2";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-ADDR3";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-BALANCE";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-COMMENT";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-FIRSTN";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-LASTN";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-LIMIT";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-NO";"child"
"VARIABLE:::CBLDB22:::CUSTOMER-RECORD";"VARIABLE:::CBLDB22:::ACCT-RSRVD";"child"
"VARIABLE:::CBLDB22:::ERROR-MESSAGE";"VARIABLE:::CBLDB22:::ERROR-LEN";"child"
"VARIABLE:::CBLDB22:::ERROR-MESSAGE";"VARIABLE:::CBLDB22:::ERROR-TEXT";"child"
